Date,Artist,Album,New to me?,Comments,Playlist,Listen Again
2021-10-15,Cœur de Pirate,Impossible à aimer,TRUE,,TRUE,
2021-10-16,Vanishing Twin,Ookii Gekkou,TRUE,,TRUE,
2021-10-17,Goat,Headsoup,TRUE,,TRUE,
2021-10-18,The Armed,Untitled,TRUE,,TRUE,
2021-10-19,Le Ren,Leftovers,TRUE,,TRUE,
2021-10-20,Injury Reserve,By The Time I Get To Phoenix,TRUE,,TRUE,
2021-10-21,Park Hye Jin,Before I Die,TRUE,,TRUE,
2021-10-22,Self Esteem,Prioritise Pleasure,TRUE,,TRUE,TRUE
2021-10-23,James Blake,Friends That Break Your Heart,TRUE,,TRUE,
2021-10-24,Flux,Poppy,TRUE,,TRUE,
2021-10-25,Yasmin Williams,Urban Driftwood,TRUE,,TRUE,
2021-10-26,Blue Ocean,Blue Ocean,TRUE,,TRUE,
2021-10-27,Gatecreeper,An Unexpected Reality,TRUE,,TRUE,
2021-10-28,Juliana Hatfield,Blood,TRUE,,TRUE,
2021-10-29,Joy Crookes,Skin,TRUE,,TRUE,
2021-10-30,Lingua Ignota,Sinner Get Ready,TRUE,,TRUE,TRUE
2021-10-31,The War On Drugs,I Don't Live Here Anymore,TRUE,,TRUE,
2021-11-01,Portishead,Dummy,FALSE,,TRUE,
2021-11-02,Alfa Mist,Structuralism,TRUE,,TRUE,
2021-11-03,Jacques Green,Dawn Chorus,TRUE,,TRUE,
2021-11-04,Grouper,Shade,TRUE,,TRUE,
2021-11-05,Le Beast Concrète,Gargoyle,TRUE,,TRUE,
2021-11-06,Bill Ryder-Jones,West Kirby County Primary,FALSE,,TRUE,
2021-11-07,Tortoise,Tortoise,FALSE,,TRUE,
2021-11-08,Michael Price,The Hope Of Better Weather,TRUE,,TRUE,
2021-11-09,Magdalena Bay,Mercurial World,TRUE,,TRUE,TRUE
2021-11-10,Rosier,Légèrement,TRUE,,TRUE,
2021-11-11,Self Esteem,Compliments Please,FALSE,,TRUE,
2021-11-12,Aesop Rock x Blockhead,Garbology,TRUE,,TRUE,
2021-11-13,Damon Albarn,"The Nearer The Fountain, More Pure The Stream Flows",TRUE,,TRUE,
2021-11-14,Giant Swan,Giant Swan,TRUE,,TRUE,
2021-11-15,Jon Hopkins,Music For Psychedelic Therapy,TRUE,,TRUE,
2021-11-16,Turnstile,GLOW ON,TRUE,,TRUE,
2021-11-17,They Might Be Giants,BOOK,TRUE,,TRUE,
2021-11-18,Idles,CRAWLER,TRUE,,TRUE,
2021-11-19,Ride,Nowhere,FALSE,,TRUE,
2021-11-20,Geese,Projector,TRUE,,TRUE,
2021-11-21,Rise Against,Nowhere Generation,TRUE,,TRUE,
2021-11-22,Black Midi,Cavalcade,TRUE,,TRUE,
2021-11-23,White Noise,An Electric Storm,FALSE,,TRUE,
2021-11-24,Perfume Genius,Set My Heart On Fire Immediately,TRUE,,TRUE,
2021-11-25,Olivia Rodrigo,SOUR,TRUE,,TRUE,
2021-11-26,"Converge, Chelsea Wolfe",Bloodmoon: I,TRUE,,TRUE,TRUE
2021-11-27,King Gizzard & The Lizard Wizard,LW,TRUE,,TRUE,
2021-11-28,Deerhoof,"Actually, You Can",TRUE,,TRUE,
2021-11-29,Big Star,Radio City,FALSE,,TRUE,
2021-11-30,Full Of Hell,Garden Of Burning Apparitions,TRUE,,TRUE,
2021-12-01,North Sea Radio Orchestra,North Sea Radio Orchestra,FALSE,,TRUE,
2021-12-02,Springtime,Springtime,TRUE,,TRUE,
2021-12-03,Christian Fitness,Hip Gone Gunslingers,TRUE,,FALSE,
2021-12-04,"Richard Dawson, Circle",Henki,TRUE,,TRUE,
2021-12-05,Mzylkypop,Kiedy Wilki Zawyja?,TRUE,,TRUE,
2021-12-06,Helm,Axis,TRUE,,TRUE,
2021-12-07,William Parker,Mayan Space Station,TRUE,,TRUE,
2021-12-08,Space Afrika,Honest Labour,TRUE,,TRUE,
2021-12-09,Madlib,Sound Ancestors,TRUE,,TRUE,
2021-12-10,L'Rain,Fatigue,TRUE,,TRUE,
2021-12-11,Les Filles De Illighadad,At Pioneer Works,TRUE,,TRUE,
2021-12-12,Circuit Des Yeux,-io,TRUE,,TRUE,
2021-12-13,Aeon Station,Observatory,TRUE,,TRUE,
2021-12-14,Angel Bat David,Hush Harbor Mixtape Vol. 1 Doxology,TRUE,,TRUE,
2021-12-15,Jana Rush,Painful Enlightenment,TRUE,,TRUE,
2021-12-16,Moor Mother,Black Encyclopaedia of the Air,TRUE,,TRUE,
2021-12-17,"Chris Corsano, Bill Orcutt",Made Out Of Sound,TRUE,,TRUE,
2021-12-18,Beauty Pill,The Unsustainable Lifestyle,FALSE,,TRUE,
2021-12-19,The Weather Station,Ignorance,TRUE,,TRUE,
2021-12-20,Snail Mail,Valentine,TRUE,,TRUE,
2021-12-21,Fleet Foxes,A Very Lonely Solstice,TRUE,,TRUE,
2021-12-22,Dave,We're All Alone In This Together,TRUE,,TRUE,
2021-12-23,Taylor Swift,Red (Taylor's Version),TRUE,,TRUE,
2021-12-24,Rhiannon Giddens With Francesco Turrisi,They're Calling Me Home,TRUE,,TRUE,
2021-12-25,Sons of Kemet,Black To The Future,TRUE,,TRUE,
2021-12-26,The Bug,Fire,TRUE,,TRUE,
2021-12-27,Trivium,In the Court of the Dragon,TRUE,,TRUE,
2021-12-28,Sloppy Jane,Madison,TRUE,,TRUE,
2021-12-29,JPEGMAFIA,LP!,TRUE,,TRUE,
2021-12-30,Nala Sinephro,Space 1.8,TRUE,,TRUE,
2021-12-31,Wire,Pink Flag,FALSE,,TRUE,
